Local Authority,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Barking & Dagenham,15.06833514,16.17707816,16.73133986,17.30477084,19.5655049,19.63229018,18.66056366,19.66191874,20.02794847,19.08585421,20.31852544,19.3355637,19.40392766,19.65105393,20.1241337,20.55383616,21.0006704,21.46369837,22.05706529,22.62735193,23.19969345,23.80828745
Barnet,46.16174794,48.63479911,52.05691542,53.55840633,60.95512856,64.01746504,62.53622131,62.81961046,63.55791623,60.03238242,58.87511916,56.9538609,56.52957072,57.19855253,58.65491939,60.2793642,61.97248788,63.77858211,65.86890179,67.80616364,69.67993385,71.58678248
Bexley,20.60513895,20.46067524,21.69464249,21.64849081,20.8698316,23.12767796,22.16744416,22.50778041,23.65271252,23.46074512,23.72265134,22.54749017,22.4764519,22.74957465,23.29740306,23.86621557,24.47693975,25.09273225,25.91417845,26.62774269,27.37864687,28.15867329
Brent,42.59423009,43.57346638,45.30830513,46.25423477,49.74555161,53.16156922,51.06450637,51.68892356,51.44085988,47.71915498,45.31621575,41.76753918,40.70967062,40.59602798,41.27957835,42.22511508,43.28643966,44.46925106,45.90239853,47.21479582,48.51430526,49.80182001
Bromley,31.5995752,34.70862724,37.11502976,41.25122258,50.97200635,60.23932115,58.55131091,59.6859057,60.56962044,55.69988136,54.09021502,50.74647593,50.14070083,50.80950735,52.44080566,53.99281595,55.77946446,57.71372242,59.96731719,62.01946588,64.09364865,66.13047989
Camden,55.01922197,58.55986268,62.00542893,66.50903814,74.18791133,78.73229561,78.50917852,82.3842602,84.644019,79.55393819,83.20590668,81.39054137,82.88490327,86.31013869,91.13319758,96.11908987,101.6436456,107.595577,114.3142746,121.0106243,127.9473862,135.2095783
City of London,2.138487595,2.312835793,2.503199245,2.623642427,3.17577836,3.604662431,3.594288829,3.555441293,4.309681386,3.387998462,3.107200216,2.694340023,2.540743985,2.493183122,2.587501981,2.662615418,2.797480044,2.884559544,3.063941458,3.207306114,3.378527637,3.520233806
Croydon,61.44055997,62.87672481,66.77357674,69.15688791,74.72434204,74.97297195,72.14514206,72.81198318,74.04444342,70.07428618,70.43389577,67.255494,67.14152701,68.096726,69.88165516,71.70140683,73.62703062,75.72939758,78.16260355,80.43615634,82.76326841,84.97682992
Ealing,49.71787978,52.50868735,57.21254117,60.74971236,67.58147124,70.70539549,68.04683912,69.73631475,70.87873503,67.33142611,67.4289704,64.5042531,63.90161524,64.53193132,66.09946737,67.76079424,69.5923429,71.63800398,74.09873586,76.29069174,78.53617038,80.74040002
Enfield,22.19435849,22.53891044,24.62812958,25.32435711,29.18573572,29.91454789,28.01163514,27.0288365,28.40341162,27.62307284,26.52295487,25.04679257,24.77282841,24.98351043,25.58649955,26.27759913,27.03894952,27.87315031,28.82502543,29.74288368,30.68759686,31.61180954
Greenwich,25.365086,26.03211204,28.03342658,28.66538184,32.8767021,37.75216154,36.54022215,37.51083817,35.98099283,34.04682883,35.17997376,33.28425233,32.94582897,33.27099776,34.19558502,35.21504214,36.29711191,37.51966781,38.96584287,40.37055709,41.75610447,43.15569928
Hackney,23.10582584,24.39255707,25.86868111,26.6089098,30.1744465,32.89403857,33.39480275,34.87558298,36.35851088,34.7076332,36.44843922,34.63899574,34.55867098,34.85041205,35.53042198,36.20483114,36.95022754,37.82226435,38.87479968,39.92400019,40.93913985,41.96189763
Hammersmith & Fulham,46.55588769,48.73552981,53.46264448,53.25781436,58.57219073,63.11413956,61.19961774,63.75704447,63.37342964,57.61187656,56.56736141,55.07734736,55.74523396,57.79557401,60.47874678,63.17085501,66.22125107,69.4905001,73.03595178,76.66968324,80.32342945,83.96185158
Haringey,20.87685251,21.41800309,22.54237035,22.29395635,24.12104995,24.5270977,23.68619624,23.54449377,23.3338354,21.60762998,21.18542605,19.99958685,19.70226294,19.83207664,20.23557146,20.70234154,21.22562909,21.76010438,22.43299605,23.03652189,23.6302231,24.21774212
Harrow,38.99498959,39.2032444,42.00453028,43.50412759,48.15066104,48.52731395,46.58403029,46.50586823,46.3056968,43.21756213,41.12167649,39.39405618,39.25486603,39.78016607,40.81082601,41.83253303,42.94966822,44.11392838,45.46539364,46.72764038,47.97728325,49.29968423
Havering,12.16598948,12.81355259,14.31018081,15.36829623,17.90840762,21.21396568,21.28562693,21.32152603,23.59734926,23.81678348,22.60319385,21.19643854,20.82514135,20.89349955,21.25886448,21.71521871,22.24716467,22.82331974,23.53597303,24.20684793,24.87846341,25.53322601
Hillingdon,47.61391034,49.45608868,53.10507578,55.19783944,60.34644889,63.32278778,60.08443632,61.71803337,63.02677446,59.72517239,62.46980001,58.73379121,59.08749247,60.70969847,63.0628463,65.68905693,68.45140534,71.4734976,75.03189975,78.43121314,81.93464373,85.52805591
Hounslow,44.0240591,45.01387668,47.87201353,49.00865773,52.72352347,54.96249645,52.19851123,54.0929689,53.30214035,52.49224812,54.75303512,52.54818255,52.42240688,52.94646802,54.06211816,55.16879166,56.28797806,57.50470542,58.96353336,60.39760104,61.80370744,63.21123947
Islington,32.055571,32.63807191,35.03176851,36.13949309,36.88838893,37.36102496,37.01044179,38.36267093,37.94136314,35.53762418,34.43607666,32.88507995,33.39853482,34.69093503,36.64956079,38.77804582,41.00075564,43.41394161,46.1902986,49.00906273,51.88939543,54.86570025
Kensington & Chelsea,32.76107228,34.33118339,35.65678573,37.87228847,42.76338143,46.5532273,45.61842693,48.22600482,48.31623117,44.70172328,44.42515998,42.84137724,42.48653759,43.51170702,45.33655364,47.38599743,49.58743938,52.0621796,55.14242653,58.17925041,61.35840038,64.60417329
Kingston upon Thames,28.27657014,28.94890263,31.97354416,33.45796074,36.62844774,36.82474768,36.28767858,36.3088222,36.06220639,35.05191499,35.02776099,33.87905396,34.09333658,35.13085191,36.4939132,38.01798869,39.48728016,41.12840093,43.03788303,44.89089953,46.78470221,48.73624186
Lambeth,40.88518224,42.6129616,46.71647707,47.5184475,53.28629637,55.61797138,53.06464594,55.82593247,57.3504487,55.5064148,55.76181133,53.91362483,54.78762542,56.48047698,58.29641329,60.11006761,62.03410919,64.06960647,66.51666157,68.90087734,71.25660479,73.68696513
Lewisham,29.5890383,31.42879416,34.48979868,35.36932646,40.66145341,43.7093769,43.23607654,44.39262834,45.01143668,43.40934148,42.91631226,40.11005223,39.63604659,39.86885816,40.74929321,41.76146387,42.8545654,44.04559715,45.47716788,46.84112525,48.19819869,49.53398604
Merton,35.86393576,36.48609363,39.92957531,41.61224636,46.36710363,47.38564895,43.69417391,44.38156545,43.20689156,40.41443902,41.60687085,39.43949599,38.78307742,38.8927372,39.62141584,40.53231239,41.54289075,42.5874985,43.88268966,45.10618676,46.34976983,47.49845495
Newham,22.80984843,23.51494372,25.2384803,27.28409294,31.74029509,34.167124,34.20262877,34.53634558,34.42872715,33.3603013,33.59038004,31.04692927,30.81131837,31.21679047,32.24494233,33.33972468,34.60974894,36.01018948,37.56985023,39.16852902,40.77862258,42.42876391
Redbridge,19.47498866,20.59006599,22.57918304,22.91087145,24.69594412,25.88092934,24.84928536,26.58745923,27.65585951,25.8452939,25.47726067,24.14831352,23.93237538,24.10471702,24.61383497,25.17140738,25.77378104,26.42466351,27.21210298,27.95684494,28.6752475,29.42070886
Richmond upon Thames,27.76989956,29.40163918,32.19560085,33.91723255,38.34457548,40.0873765,39.02624912,41.36500292,42.24091889,38.5330097,39.9017105,38.55647385,38.52919447,39.53396389,41.09384765,42.70501478,44.3437135,46.12143282,48.16869502,50.12230659,52.05256754,54.06447041
Southwark,42.22516139,42.59679265,44.82616664,47.01896151,50.90223554,51.41598869,50.9879152,52.17105264,53.09577336,50.49789367,52.47183629,51.06649619,51.6679359,52.98329903,55.05539869,57.2118186,59.50605438,62.00571382,64.9637696,67.90886379,70.88411684,73.97658802
Sutton,40.32473952,41.69353095,42.09123536,41.88737723,44.11735554,43.96427953,41.55769584,42.89269309,41.0952823,37.35950383,36.95120582,34.95297442,34.863082,35.5052,36.67057322,37.9531269,39.29597629,40.74911963,42.42587231,43.98749755,45.5791467,47.16962767
Tower Hamlets,25.21606855,27.16725603,29.70999882,33.6136568,40.92681521,45.01718943,44.73623552,47.62809859,49.98088318,48.13325448,49.07350292,47.9685146,48.62406974,50.31608377,52.96092979,55.89489739,59.14225889,62.65170591,66.65822151,70.81643892,75.09051181,79.61872524
Waltham Forest,19.65468551,20.67620905,22.31712198,23.13996462,24.15579459,23.17712801,21.70047165,21.76252205,22.2818212,21.48318836,22.40673212,21.41954298,21.46921654,21.77180144,22.28730043,22.76754126,23.24809302,23.76468408,24.40135614,25.01660509,25.58194299,26.22455301
Wandsworth,72.19934175,74.27010649,77.41638814,80.12697283,91.06157607,96.78233843,95.53583626,102.1987735,101.689138,96.34136881,97.9178983,93.91353776,94.57407752,97.10231807,100.3005362,102.7346358,105.5130808,108.6751484,112.2926036,115.6548635,119.0134257,122.2739875
Westminster,52.73914438,55.00573488,57.62393076,60.37566411,73.16925996,82.46066458,83.84057403,90.28875727,90.8969043,86.52483599,87.69882407,85.52938745,87.2467055,90.69532957,95.44170017,100.5643327,106.158637,112.1744956,119.1720907,126.0328864,133.2485305,140.6272471
Greater London,1127.08727,1170.778801,1251.023961,1300.530173,1451.54547,1534.82706,1493.60876,1542.135506,1558.061807,1473.894435,1483.013755,1418.785714,1419.946835,1449.304023,1498.536206,1550.065743,1605.94411,1666.630873,1737.592348,1806.339304,1876.163168,1947.14429
