Code,Area,2012,2013,2014,2015,2016,2017,2018,2019
E09000002,Barking and Dagenham,3.23,3.27,3.39,3.15,2.84,3.02,2.85,2.82
E09000003,Barnet,3.41,2.74,2.60,2.37,2.49,3.09,2.78,3.19
E09000004,Bexley,3.07,3.24,3.46,3.16,3.06,3.16,3.04,3.21
E09000005,Brent,2.77,3.29,3.07,2.50,2.57,2.69,2.7,2.4
E09000006,Bromley,3.30,3.22,3.15,2.76,2.98,3.29,3.16,2.88
E09000007,Camden,3.81,3.24,3.41,3.21,3.16,3.38,3.62,3.3
E09000008,Croydon,3.47,3.04,3.32,2.89,3.12,3.03,3.27,2.93
E09000009,Ealing,3.86,3.58,3.38,3.36,3.35,3.35,3.23,3.4
E09000010,Enfield,3.15,2.54,2.57,2.19,2.49,2.96,2.63,2.96
E09000011,Greenwich,3.38,3.62,3.27,3.52,3.55,3.37,3.15,2.98
E09000012,Hackney,3.88,3.66,3.79,3.32,3.13,3.48,3.23,3.04
E09000013,Hammersmith and Fulham,2.87,3.09,3.40,3.14,3.68,3.49,3.52,3.45
E09000014,Haringey,3.30,3.06,3.24,3.00,3.09,3.01,3.34,3.07
E09000015,Harrow,2.65,3.14,2.60,2.57,2.82,2.47,2.44,2.34
E09000016,Havering,3.40,3.17,3.12,3.02,2.65,2.81,2.83,3.03
E09000017,Hillingdon,3.44,3.37,3.06,3.03,3.09,3.37,3.17,3.07
E09000018,Hounslow,3.54,3.39,3.17,3.25,3.13,2.79,3.28,3.14
E09000019,Islington,3.66,3.68,3.45,3.27,3.41,3.26,3.35,3.23
E09000020,Kensington and Chelsea,3.20,3.00,3.14,3.21,3.38,3.29,3.71,3.69
E09000021,Kingston upon Thames,3.50,3.34,3.07,3.20,3.03,3.19,3.04,2.81
E09000022,Lambeth,3.43,3.66,3.42,3.12,3.33,3.50,3.32,3.67
E09000023,Lewisham,3.56,3.36,3.40,3.23,3.08,3.26,3.18,3.37
E09000024,Merton,3.78,3.59,3.38,3.31,3.23,3.15,3.07,3.13
E09000025,Newham,3.89,3.33,2.85,2.72,2.57,2.76,3.04,3.16
E09000026,Redbridge,3.30,3.11,3.16,3.02,2.97,3.06,3.17,3.05
E09000027,Richmond upon Thames,3.32,3.49,3.01,3.34,2.99,3.25,3.38,3.34
E09000028,Southwark,3.54,3.37,3.49,3.29,3.27,3.37,3.68,3.61
E09000029,Sutton,3.22,3.34,3.28,3.04,3.59,2.99,2.94,2.64
E09000030,Tower Hamlets,3.53,2.95,3.05,3.14,2.86,3.14,3.26,2.77
E09000031,Waltham Forest,3.45,2.96,3.03,2.79,2.58,2.62,3.03,2.98
E09000032,Wandsworth,3.63,3.54,3.34,3.07,3.29,3.36,2.88,3.15
E09000033,Westminster,3.52,3.66,3.13,3.38,3.14,2.99,3.33,3.36
