Borough,2016,2017,2018,2019,2020,2021
Barking and Dagenham,80,86,86,90,87,87
Barnet,63,65,70,76,68,67
Bexley,53,58,62,70,63,60
Brent,82,85,87,92,88,81
Bromley,62,67,70,73,65,67
Camden,108,136,143,153,114,107
Croydon,75,76,80,82,83,82
Ealing,80,81,82,87,84,82
Enfield,68,74,83,87,85,85
Greenwich,80,86,89,94,86,87
Hackney,101,110,110,115,106,105
Hammersmith and Fulham,110,115,117,119,100,103
Haringey,102,110,115,115,105,106
Harrow,53,54,59,65,60,58
Havering,66,71,72,71,64,65
Hillingdon,81,88,90,95,84,79
Hounslow,82,89,93,93,86,83
Islington,114,133,123,125,106,102
Kensington and Chelsea,126,133,139,153,113,115
Kingston upon Thames,58,64,69,70,61,62
Lambeth,106,105,110,108,93,96
Lewisham,79,80,85,91,88,85
Merton,62,65,68,69,65,62
Newham,86,95,103,100,94,93
Redbridge,65,75,77,76,75,78
Richmond upon Thames,57,66,66,65,62,57
Southwark,100,104,114,123,100,98
Sutton,53,58,59,66,62,62
Tower Hamlets,91,95,104,104,95,97
Waltham Forest,76,80,86,84,84,79
Wandsworth,73,74,78,77,74,75
Westminster,189,215,255,312,184,189
