ONS code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E09000002,Barking and Dagenham,18.1,18.1,18.2,18.2,18.3,18.4,18.5,18.7,18.7,18.8,18.8,18.9,19.0,19.2,19.4,19.6,19.7,19.8,20.1
E09000003,Barnet,15.0,15.1,15.2,15.3,15.4,15.6,15.6,15.8,15.9,16.0,16.1,16.3,16.5,16.6,16.7,16.9,17.1,17.4,17.6
E09000004,Bexley,14.2,14.3,14.3,14.5,14.5,14.5,14.6,14.6,14.7,14.7,14.8,14.8,14.9,15.0,15.1,15.1,15.2,15.2,15.3
E09000005,Brent,23.5,23.8,24.0,24.2,24.3,24.7,25.0,25.2,25.5,25.8,25.9,26.1,26.2,26.4,26.7,27.0,27.3,27.5,27.9
E09000006,Bromley,8.6,8.6,8.6,8.6,8.7,8.8,8.8,8.9,8.9,8.9,9.0,9.0,9.1,9.1,9.1,9.2,9.2,9.3,9.3
E09000007,Camden,42.7,43.1,43.4,43.5,43.9,44.2,44.5,44.8,45.2,45.5,45.8,46.0,46.2,46.5,46.7,47.1,47.7,48.1,48.5
E09000008,Croydon,16.3,16.3,16.4,16.4,16.5,16.5,16.6,16.8,16.9,17.0,17.1,17.2,17.3,17.5,17.6,17.9,18.2,18.4,18.6
E09000009,Ealing,21.7,21.7,21.8,21.9,21.9,22.1,22.3,22.6,22.8,22.8,22.9,23.0,23.2,23.3,23.5,23.6,23.8,24.0,24.4
E09000010,Enfield,13.7,13.9,14.0,14.2,14.2,14.3,14.4,14.6,14.7,14.7,14.8,14.9,14.9,15.0,15.1,15.1,15.3,15.3,15.4
E09000011,Greenwich,18.9,19.0,19.2,19.5,19.8,20.1,20.2,20.3,20.3,20.4,20.5,20.7,20.7,21.0,21.2,21.5,22.0,22.4,22.7
E09000012,Hackney,45.8,46.5,47.4,48.1,48.7,49.3,50.1,51.1,52.3,53.4,53.8,54.4,54.8,55.4,56.0,56.5,57.1,57.8,58.6
E09000013,Hammersmith and Fulham,44.9,45.1,45.2,45.6,45.9,46.2,46.6,46.9,47.2,47.7,48.0,48.3,48.5,48.9,49.7,49.9,50.5,51.4,52.0
E09000014,Haringey,31.6,31.9,32.1,32.3,32.8,33.2,33.7,34.1,34.6,34.9,35.2,35.6,35.8,36.0,36.0,36.1,36.4,36.8,37.0
E09000015,Harrow,16.0,16.0,16.2,16.3,16.4,16.5,16.7,16.8,16.9,17.0,17.1,17.2,17.4,17.4,17.5,17.7,17.8,18.0,18.2
E09000016,Havering,8.2,8.2,8.3,8.3,8.4,8.4,8.5,8.5,8.6,8.6,8.7,8.7,8.7,8.7,8.8,8.8,8.9,8.9,9.0
E09000017,Hillingdon,8.6,8.6,8.6,8.7,8.7,8.8,8.8,8.8,8.9,8.9,9.0,9.1,9.2,9.2,9.3,9.3,9.4,9.5,9.6
E09000018,Hounslow,15.2,15.3,15.5,15.7,15.8,16.0,16.3,16.6,16.8,16.9,17.1,17.2,17.3,17.4,17.5,17.5,17.6,17.8,18.0
E09000019,Islington,56.0,56.7,57.9,58.7,59.2,59.8,61.0,62.2,63.7,64.8,65.2,66.0,66.6,67.5,67.8,68.5,69.0,69.2,69.8
E09000020,Kensington and Chelsea,67.6,67.7,67.8,68.1,68.2,68.3,68.3,68.3,68.3,68.4,68.5,68.6,68.6,69.1,69.9,70.2,70.5,70.7,70.8
E09000021,Kingston upon Thames,16.8,16.8,16.9,17.0,17.2,17.2,17.3,17.4,17.4,17.5,17.5,17.6,17.6,17.7,17.8,17.9,18.0,18.0,18.2
E09000022,Lambeth,44.2,44.6,44.8,45.1,45.4,45.9,46.4,47.0,47.4,47.9,48.5,48.8,49.0,49.5,50.0,50.5,50.9,51.5,51.9
E09000023,Lewisham,30.9,31.0,31.1,31.4,31.6,31.9,32.1,32.4,32.7,33.0,33.3,33.6,34.2,34.4,34.8,35.2,35.7,35.8,36.3
E09000024,Merton,21.5,21.4,21.4,21.4,21.3,21.4,21.4,21.4,21.5,21.5,21.5,21.6,21.8,21.9,22.0,22.1,22.2,22.4,22.5
E09000025,Newham,24.2,24.5,24.8,25.1,25.2,25.5,25.7,25.9,26.2,26.6,26.8,27.0,27.2,27.7,28.2,28.6,29.2,29.7,30.3
E09000026,Redbridge,16.7,16.8,16.9,17.0,17.2,17.3,17.5,17.6,17.7,17.9,18.0,18.0,18.1,18.1,18.2,18.2,18.3,18.4,18.5
E09000027,Richmond upon Thames,13.3,13.4,13.4,13.5,13.6,13.8,13.8,13.9,13.9,14.0,14.0,14.1,14.2,14.2,14.3,14.3,14.4,14.5,14.6
E09000028,Southwark,35.8,36.0,36.3,36.8,37.5,38.0,38.8,39.5,40.0,40.6,41.2,41.6,42.0,42.5,42.9,43.4,44.2,44.5,45.5
E09000029,Sutton,17.7,17.7,17.8,17.8,17.9,17.9,17.9,18.0,18.1,18.1,18.2,18.3,18.4,18.4,18.5,18.6,18.8,18.9,19.1
E09000030,Tower Hamlets,37.2,38.1,38.8,39.5,41.0,42.3,43.7,45.0,46.6,48.0,48.8,50.2,50.6,50.9,51.3,52.5,54.7,55.6,56.3
E09000031,Waltham Forest,23.7,23.8,23.9,24.0,24.1,24.3,24.6,24.8,25.1,25.2,25.3,25.5,25.6,25.7,25.8,26.1,26.4,26.5,26.7
E09000032,Wandsworth,34.3,34.5,34.9,35.2,35.7,36.1,36.6,37.0,37.5,38.0,38.2,38.5,38.8,39.1,39.4,40.2,40.9,41.5,42.0
E09000033,Westminster,45.9,46.8,47.5,48.5,49.1,50.0,50.7,51.5,52.2,52.9,53.7,54.1,54.4,54.6,55.0,55.4,56.0,56.5,56.9
