Code,Area,Year,Attainment
E09000002,Barking and Dagenham,2015/16,49.7
E09000002,Barking and Dagenham,2015/16,47.6
E09000002,Barking and Dagenham,2015/16,51.8
E09000003,Barnet,2015/16,56.1
E09000003,Barnet,2015/16,54.6
E09000003,Barnet,2015/16,57.5
E09000004,Bexley,2015/16,52.2
E09000004,Bexley,2015/16,50
E09000004,Bexley,2015/16,54.6
E09000005,Brent,2015/16,51.5
E09000005,Brent,2015/16,49.2
E09000005,Brent,2015/16,53.7
E09000006,Bromley,2015/16,53.7
E09000006,Bromley,2015/16,52.4
E09000006,Bromley,2015/16,54.9
E09000007,Camden,2015/16,50.6
E09000007,Camden,2015/16,45.8
E09000007,Camden,2015/16,54.1
E09000001,City of London,2015/16,.
E09000001,City of London,2015/16,.
E09000001,City of London,2015/16,.
E09000008,Croydon,2015/16,48.5
E09000008,Croydon,2015/16,45.1
E09000008,Croydon,2015/16,51.9
E09000009,Ealing,2015/16,50.9
E09000009,Ealing,2015/16,48.5
E09000009,Ealing,2015/16,53.5
E12000006,East,2015/16,50.4
E12000006,East,2015/16,48.2
E12000006,East,2015/16,52.6
E12000004,East Midlands,2015/16,48.9
E12000004,East Midlands,2015/16,46.5
E12000004,East Midlands,2015/16,51.3
E09000010,Enfield,2015/16,50.4
E09000010,Enfield,2015/16,48.2
E09000010,Enfield,2015/16,52.7
E92000001,England,2015/16,50.1
E92000001,England,2015/16,47.8
E92000001,England,2015/16,52.4
E09000011,Greenwich,2015/16,49.6
E09000011,Greenwich,2015/16,47.7
E09000011,Greenwich,2015/16,51.5
E09000012,Hackney,2015/16,52.5
E09000012,Hackney,2015/16,49.5
E09000012,Hackney,2015/16,54.9
E09000013,Hammersmith and Fulham,2015/16,54.1
E09000013,Hammersmith and Fulham,2015/16,51.3
E09000013,Hammersmith and Fulham,2015/16,56.7
E09000014,Haringey,2015/16,50.1
E09000014,Haringey,2015/16,47.5
E09000014,Haringey,2015/16,52.6
E09000015,Harrow,2015/16,53.1
E09000015,Harrow,2015/16,50.7
E09000015,Harrow,2015/16,55.6
E09000016,Havering,2015/16,50
E09000016,Havering,2015/16,48.3
E09000016,Havering,2015/16,51.8
E09000017,Hillingdon,2015/16,51.2
E09000017,Hillingdon,2015/16,49.4
E09000017,Hillingdon,2015/16,53.2
E09000018,Hounslow,2015/16,51.1
E09000018,Hounslow,2015/16,48.8
E09000018,Hounslow,2015/16,53.6
E13000001,Inner London,2015/16,51.3
E13000001,Inner London,2015/16,48.9
E13000001,Inner London,2015/16,53.6
E09000019,Islington,2015/16,50.6
E09000019,Islington,2015/16,49.7
E09000019,Islington,2015/16,51.7
E09000020,Kensington and Chelsea,2015/16,56.6
E09000020,Kensington and Chelsea,2015/16,56.1
E09000020,Kensington and Chelsea,2015/16,57.1
E09000021,Kingston upon Thames,2015/16,58.2
E09000021,Kingston upon Thames,2015/16,56.5
E09000021,Kingston upon Thames,2015/16,59.7
E09000022,Lambeth,2015/16,49.7
E09000022,Lambeth,2015/16,47.2
E09000022,Lambeth,2015/16,52.3
E09000023,Lewisham,2015/16,47.5
E09000023,Lewisham,2015/16,44.2
E09000023,Lewisham,2015/16,51.2
E12000007,London,2015/16,51.9
E12000007,London,2015/16,49.7
E12000007,London,2015/16,54.1
E09000024,Merton,2015/16,52.4
E09000024,Merton,2015/16,50.3
E09000024,Merton,2015/16,54.6
E09000025,Newham,2015/16,50.9
E09000025,Newham,2015/16,48.9
E09000025,Newham,2015/16,53.1
E12000001,North East,2015/16,48.7
E12000001,North East,2015/16,46.8
E12000001,North East,2015/16,50.8
E12000002,North West,2015/16,49.4
E12000002,North West,2015/16,47.1
