Borough,Sector,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Barking and Dagenham,Primary & Utilities,450,500,600,500,450,450,500,450,500,500,450,900,700,700,500,"1,000",800,700,800,700,900,900
Barking and Dagenham,Manufacturing,"17,000","13,000","11,000","10,000","10,000","10,000","9,000","8,000","8,000","8,000","7,000","6,000","7,000","6,000","6,000","5,000","5,000","5,000","4,500","4,500","4,500","4,500"
Barking and Dagenham,Construction,"2,500","3,000","2,500","2,250","2,000","1,750","2,500","3,000","2,250","2,500","2,000","2,250","2,500","3,000","2,500","2,500","2,250","3,000","3,500","3,500","4,000","4,000"
Barking and Dagenham,Wholesale,"4,000","4,500","4,000","4,500","5,000","5,000","5,000","5,000","5,000","5,000","4,500","4,500","4,500","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000"
Barking and Dagenham,Retail,"4,500","4,500","4,500","4,500","5,000","4,500","4,500","4,000","4,500","4,500","4,500","4,000","4,000","4,500","4,500","4,500","4,500","5,000","5,000","5,000","4,500","6,000"
Barking and Dagenham,Transportation and Storage,"5,000","4,500","4,000","4,000","3,500","3,000","3,000","3,000","3,500","3,500","3,500","4,000","4,000","3,500","3,500","3,500","4,000","4,500","5,000","4,500","6,000","6,000"
Barking and Dagenham,Accomodation and food service activities,"2,250","2,000","2,000","2,000","2,500","2,500","2,250","2,250","2,250","2,000","1,750","2,000","1,750","1,750","2,000","2,000","2,250","2,250","2,500","2,500","3,000","3,000"
Barking and Dagenham,Information and Communication,"1,250","1,500","1,250","1,500","1,250","1,500","1,250","1,250","1,250","1,500",700,600,800,800,900,"1,000","1,000","1,500","1,500","1,500","1,500","1,000"
Barking and Dagenham,Financial and insurance activities,"1,250","1,000","1,500","1,000","1,000","1,250","1,250","1,000","1,000",900,900,"1,500",800,600,600,500,500,500,500,500,450,400
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities","2,500","2,500","2,250","2,500","2,500","2,250","2,250","2,500","2,500","2,500","1,750","1,750","1,750","1,750","2,000","2,250","2,250","3,000","2,250","2,250","2,500","2,500"
