Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2016,GLA Household Estimate 2016,Inland Area (Hectares),Population density (per hectare) 2016,"Average Age, 2016","Proportion of population aged 0-15, 2016","Proportion of population of working-age, 2016","Proportion of population aged 65 and over, 2016",Net internal migration (2014),Net international migration (2014),Net natural change (2014),% of resident population born abroad (2014),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2016),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2014/15)","New migrant (NINo) rates, (2014/15)",Largest migrant population arrived during 2014/15,Second largest migrant population arrived during 2014/15,Third largest migrant population arrived during 2014/15,Employment rate (%) (2015),Male employment rate (2015),Female employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-14),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (Aug-2015),% working-age with a disability (2015),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,"Gross Annual Pay, (2015)",Gross Annual Pay - Male (2015),Gross Annual Pay - Female (2015),Modelled Household median income estimates 2012/13,% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2014),% of employment that is in public sector (2014),"Jobs Density, 2014","Number of active businesses, 2014",Two-year business survival rates (started in 2012),Crime rates per thousand population 2014/15,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2014","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2014/15 (provisional),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2013),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2013/14","Average Public Transport Accessibility score, 2014","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2015),% of pupils whose first language is not English (2015),% children living in out-of-work households (2014),"Male life expectancy, (2012-14)","Female life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2014/15,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,E09000001,City of London,Inner London,"8,548","5,179",290.4,28.9,42.9,27.2,90.6,9.4,138,252,35,.,United States,2.8,France,2,Australia,1.9,27.5,17.1,892,151,France,United States,India,64.6,.,.,.,1.2,.,3.8,.,.,.,.,.,.,"£99,390",.,"500,400",3.4,84.6,"19,250",63,.,12.3,.,"765,000",943,230,.,.,.,.,4.8,"1,417.50",34.4,"1,692",0.4,.,7.9,78.6,84,.,9.1,.,.,.,6.59,7.08,5.99,5.57,n/a,2.6,128.8,.,.,.,.,.
E09000002,E09000002,Barking and Dagenham,Outer London,"205,773","76,841","3,610.80",57.3,32.9,21,86.1,13.9,-1118,2543,2509,37.4,Nigeria,4.7,India,2.3,Pakistan,2.3,49.5,18.7,"7,727",62,Romania,Bulgaria,Lithuania,65.8,75.6,56.5,11,7.3,5.7,11.7,17.2,11.3,32.2,"£28,428","£29,792","£25,251","£34,080",21,"58,900",21.1,0.47,"5,690",73,83.4,3,13.7,"215,000",1332,510,16.4,27.4,35.9,20.3,33.6,783.2,23.4,"56,966",0.8,6.5,3,58,77,47.2,22.5,77.6,82.1,32.4,7.14,7.6,7.05,3.05,25.3,7.3,227.6,Lab,0,100,0,36.5
E09000003,E09000003,Barnet,Outer London,"385,108","149,147","8,674.80",44.5,37.2,21,83.3,16.7,-1884,4770,2938,35.9,India,3.1,Poland,2.4,Iran,2,38.7,23.4,"14,412",59,Romania,Poland,Italy,68.5,74.5,62.9,8.5,3.5,2.5,6.7,14.9,5.2,49,"£33,084","£37,058","£30,449","£54,530",33,"167,300",18.7,0.69,"24,555",70,62.7,1.6,11.1,"400,000",1397,"1,320",32.4,25.2,11.1,31.1,41.3,"1,552.70",38,"144,717",1.1,12.1,3,67.3,34,43.4,10.8,82.1,85.1,12.8,7.48,7.76,7.37,2.75,18.4,6,133.8,Cons,50.8,47.6,1.6,40.5
E09000004,E09000004,Bexley,Outer London,"243,303","97,233","6,058.10",39.9,38.9,20.8,89,11,1273,699,1195,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,21.4,6,"2,108",14,Romania,Nigeria,Poland,75.1,82.1,68.5,7.6,3.8,3.4,7.3,15.9,10.8,33.5,"£32,040","£36,020","£25,776","£44,430",22,"80,700",15.9,0.54,"8,430",75,51.8,2.3,11.8,"250,000",1446,810,38.1,35.3,15.2,11.4,31.7,"1,060.90",54,"108,507",1.2,9.2,2.6,60.3,50,15,15.4,80.4,84.4,19.5,7.38,7.7,7.21,3.29,21.4,6.9,164.3,Cons,71.4,23.8,0,39.6
E09000005,E09000005,Brent,Outer London,"328,568","119,166","4,323.30",76.1,35.5,20.1,82.5,17.5,-6932,6717,3694,56.2,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,"25,130",115,Romania,Italy,Portugal,69.5,76,62.6,7.5,6.1,2.6,9,17.7,6.2,45.1,"£29,777","£31,149","£27,653","£39,630",17,"133,600",17.6,0.61,"14,680",70,78.8,1.8,12.1,"385,000",1354,"1,560",22.2,22.6,20.4,34.8,21.9,"1,292.60",35.2,"87,802",0.8,11.7,3.7,60.1,44,62.7,16,80.1,85.1,18.5,7.25,7.35,7.22,2.92,23.9,7.9,169.4,Lab,9.5,88.9,1.6,36.3
E09000006,E09000006,Bromley,Outer London,"326,560","139,654","15,013.50",21.7,40.1,15.8,88.4,11.6,1169,728,1486,17.2,India,1.1,Ireland,1.1,Nigeria,0.7,18.9,5.8,"2,778",14,Romania,Italy,Poland,75.3,80.4,70.4,5.3,3.5,4.3,6.4,15.9,4.3,46.7,"£36,498","£42,464","£32,600","£55,140",29,"127,800",13.9,0.64,"14,825",77,64.1,2.3,11.2,"335,000",1325,410,37.8,34.9,13.2,14.1,57.8,"1,334.70",48,"153,908",1.2,12.2,2.8,68,37,10.8,12.1,81.4,84.9,16.7,7.54,7.86,7.44,3.26,16.5,5.2,148.5,Cons,85,11.7,0,40.8
E09000007,E09000007,Camden,Inner London,"240,595","106,518","2,178.90",109.8,36.2,8.8,82.8,17.2,-2790,6288,1642,42.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,"10,703",64,Italy,France,Spain,69.2,72.2,66.1,4,5,4.4,9.2,21.3,6.1,61.1,"£39,610","£42,905","£35,936","£67,990",22,"377,400",12.4,2.25,"29,020",69,123.5,2.7,14.8,"675,000",1337,440,18.5,15.1,34.4,32,24.8,"1,540.50",26.3,"46,601",0.5,15.1,5.7,62.7,43,55.4,19.1,81.8,86.7,16.8,7.14,7.38,7.11,3.61,20.8,3.9,163.8,Lab,22.2,74.1,1.9,38.7
E09000008,E09000008,Croydon,Outer London,"383,408","156,979","8,650.40",44.4,36.9,22.3,87,13,-2362,2189,3443,29.7,India,3.6,Jamaica,2.5,Ghana,1.5,49.9,14.5,"7,902",32,Romania,Poland,Bulgaria,75.4,81.8,69.5,4.1,5.3,3.3,9.1,17.5,7,40.6,"£32,887","£34,300","£30,509","£45,120",27,"141,600",20.1,0.58,"14,400",74,77,2.2,12.8,"265,000",1466,"1,520",30.8,33.6,16.7,18.6,37.1,"1,452.20",39.9,"140,049",1,6.8,3.2,57.7,87,30.2,16.5,80.3,83.6,28.4,7.1,7.57,7.18,3.3,23.8,6.5,178.2,Lab,42.9,57.1,0,38.6
E09000009,E09000009,Ealing,Outer London,"348,533","130,934","5,554.40",63.5,36.1,21.2,88.3,11.7,-6391,2291,3708,45.5,India,7.6,Poland,6.4,Ireland,2.3,53.5,33.9,"15,143",66,Poland,Romania,Italy,72.7,81.2,63.8,5.8,5.2,3,8.6,15.2,9.1,49.7,"£28,978","£30,800","£27,807","£45,690",32,"160,500",13.6,0.7,"17,475",74,75.5,1.9,11.3,"388,000",1355,900,20.1,30.2,14.3,35,30.9,"1,567.30",40.1,"112,845",0.9,13.4,3.3,62.1,44,59.8,15,80.6,84.2,17.8,7.29,7.57,7.26,3.57,23.3,6.9,163.5,Lab,17.4,76.8,5.8,41.2
