Area code,Local Authority,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018
E09000002,Barking and Dagenham,18.7,18.3,18.2,18.3,18.7,19.1,19.1,19.2,19.3,19.8,20,20.2,20.2,20.2,20.5,20.5,20.6
E09000003,Barnet,19.8,20.1,20.4,20.6,20.8,21.1,21.4,21.7,21.7,21.9,22.1,22.4,22.5,22.5,22.7,22.7,22.8
E09000004,Bexley,19.4,19.2,19.4,19.7,20.4,20.7,20.8,21,21.1,21.4,21.5,21.5,21.7,21.5,21.7,21.7,21.8
E09000005,Brent,20.5,20.3,20.5,20.8,21.4,21.8,22,22,21.8,22.2,22.1,22.2,22.3,22.5,22.6,22.5,22.7
E09000006,Bromley,20.2,20.1,20.3,20.6,21.1,21.1,21.1,21.3,21.5,21.8,21.7,22,22,22.3,22.2,22.4,22.3
E09000007,Camden,19.8,19.8,19.7,20,20.2,20.6,21,21.7,22.4,22.8,23.1,23.4,24,23.9,24.4,24.1,24.6
E09000008,Croydon,19.1,19.1,19.2,19.6,19.8,20.3,20.3,20.6,20.6,20.9,21.1,21.3,21.4,21.3,21.4,21.4,21.6
E09000009,Ealing,19.4,19.7,19.9,20.1,20.5,20.8,20.8,20.7,20.8,21.2,21.4,21.5,21.5,21.6,21.8,22.1,22.3
E09000010,Enfield,19.4,19.5,19.6,19.9,20.2,20.5,20.6,20.8,20.9,21.5,21.6,21.9,21.8,21.8,22,22,22.3
E09000011,Greenwich,19.3,18.9,18.9,19,19.6,19.8,19.8,19.8,19.8,20.3,20.3,20.7,20.5,20.7,20.5,20.7,20.9
E09000012,Hackney,19.6,19.7,19.8,20,20,20.3,20.4,20.5,20.4,20.3,20.6,20.9,21.1,21,21,21.2,21.6
E09000013,Hammersmith and Fulham,20.6,20.5,20.7,20.8,21.2,21.3,21.3,21.4,21.2,21.4,21.4,21.4,21.8,21.7,22,22,22.2
E09000014,Haringey,19.1,19,19.3,19.9,20.6,21,21.3,21.7,21.8,21.8,21.7,22.2,22.4,22.4,22.3,22.5,22.8
E09000015,Harrow,21.3,20.9,20.9,20.7,21.2,21.5,21.9,22,22.4,22.8,22.9,23,23.1,23.1,23.2,23.3,23.4
E09000016,Havering,19.1,19,19.2,19.3,19.8,20,20.5,20.8,21,21.4,21.5,21.5,21.4,21.6,21.7,21.6,21.6
E09000017,Hillingdon,19.7,19.5,19.6,19.8,20.4,20.8,21,20.9,21.2,21.3,21.3,21.5,21.5,21.4,21.5,21.6,21.7
E09000018,Hounslow,18.8,18.7,18.7,19,19.2,19.7,19.9,20.4,20.7,21.1,21.3,21.3,21.6,21.7,21.9,21.5,21.5
E09000019,Islington,18.8,18.7,18.7,18.7,19.1,19.5,19.6,19.6,20,20.4,20.9,21,21.2,21.2,21.3,21,21.2
E09000020,Kensington and Chelsea,22,22.2,22.6,22.7,23,22.9,23.3,23.2,23.5,23.3,22.9,23.2,23.5,23.6,23.6,23.8,24.5
E09000021,Kingston upon Thames,19.3,19.3,19.5,20,20.6,20.6,20.7,21,21.4,21.7,21.8,21.6,22,21.9,22.5,22.3,22.5
E09000022,Lambeth,18.7,18.9,18.8,18.8,19.1,19.6,19.8,19.9,20,20.7,21,21.3,21.3,21.3,21.3,21.4,21.5
E09000023,Lewisham,18.4,18.2,18.4,18.4,19,19.3,19.5,19.9,20.2,20.6,20.7,20.9,21,20.9,21,21.4,21.5
E09000024,Merton,20,20.1,20.3,20.5,20.6,20.5,20.5,20.7,21.2,21.7,21.8,21.6,21.5,21.6,21.7,21.7,21.9
E09000025,Newham,18.3,18.4,18.4,18.2,18.4,18.6,19.2,19.5,19.9,20.3,20.7,20.6,20.8,20.5,21.1,21,21.3
E09000026,Redbridge,19.9,19.5,19.6,19.7,20.1,20.4,20.6,20.8,21,21.3,21.5,21.5,21.8,21.7,21.7,21.8,22.2
E09000027,Richmond upon Thames,19.9,19.9,20.2,20.6,21,21.4,21.7,22.4,22.7,22.9,22.9,22.8,23,22.9,23.2,23.1,23.6
E09000028,Southwark,19.2,19.2,19.3,19.4,19.9,20.2,20.5,20.6,20.6,20.8,21.1,21.6,21.5,21.4,21.3,22.1,22.2
E09000029,Sutton,18.9,19,19.3,19.8,20.3,20.4,20.3,20.5,20.8,21.4,21.4,21.4,21,21.3,21.3,21.8,21.6
E09000030,Tower Hamlets,18.3,18,18.3,18.6,18.9,18.8,18.7,18.9,19.3,19.9,20,20.4,20.3,20.4,20.4,20.9,21.1
E09000031,Waltham Forest,18.5,18.6,19,19.2,19.5,19.7,20,20.1,20.5,20.9,21.2,21.5,21.6,21.5,21.6,21.8,22.3
E09000032,Wandsworth,18.9,19,19.1,19.3,19.5,19.8,19.9,20.2,20.5,20.9,20.9,21.1,21.3,21.2,21.3,21.3,21.7
E09000033,Westminster,21.3,20.9,21.1,21,21.7,21.9,22.3,22.5,22.5,22.5,22.5,23.2,23.4,23.4,23.3,23.4,23.7
