Local Authority,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Barking & Dagenham,28.50925177,30.6393743,30.88453946,30.84979084,31.37430184,29.64962059,28.42371397,29.08353114,28.54799895,26.80732183,30.77354318,31.200468,31.12849309,31.23661802,31.70874859,31.98699159,32.21153192,32.41353852,32.68193318,33.03010903,33.3636996,33.74655751
Barnet,110.3511427,113.5021317,118.5769669,119.5841418,122.256464,121.1951482,119.3264295,116.5904121,115.1789208,107.1775398,108.7677983,110.736408,109.1517199,109.022062,110.6953643,112.1759729,113.5034879,114.9295078,116.2774472,117.9707346,119.3784989,120.8956678
Bexley,38.34044793,37.60776018,38.86617202,37.75566431,32.70327227,34.1677548,33.00902548,32.54608085,33.08182576,32.29622554,35.0146376,35.96519882,35.59015446,35.62617077,36.13404338,36.52183587,36.88155367,37.20141485,37.66559204,38.16334581,38.6495601,39.20104125
Brent,96.77985514,97.97306553,99.24732166,98.12276666,94.87767126,95.49509818,92.59602667,91.09642768,88.08688808,80.72771141,81.03106019,77.95025138,75.48148402,74.43531368,74.96475562,75.66210505,76.37775201,77.20465093,78.13290128,79.15813901,80.12781805,81.06211323
Bromley,68.99086797,74.10435411,77.39257551,84.18912096,93.53367996,104.2465856,102.0778428,101.1698187,99.91085559,90.3656406,91.7957935,91.97855541,90.22482336,90.2975554,92.28117095,93.70617895,95.29582552,97.02661417,98.80784122,100.7794496,102.5873844,104.3820504
Camden,141.3181752,147.980596,152.2207776,158.4175514,158.3526796,158.1205851,158.9751188,162.0464714,163.4192853,152.9513862,166.470544,167.3574231,169.3923285,174.3111377,182.3298731,189.7520334,197.6048767,205.8748823,214.4100951,223.5799939,232.9095038,242.5896479
City of London,5.316815801,5.672180398,5.961366403,6.046804139,6.553110699,6.983225771,7.017021627,6.73936858,8.03369075,6.309834433,6.045478239,5.360166157,5.025244961,4.875548932,5.014256849,5.093176517,5.271624057,5.351578483,5.57461095,5.749071199,5.969144557,6.131378025
Croydon,134.7319701,135.8524207,140.7260207,141.7786427,137.7539221,130.1764077,126.2663288,123.826645,122.3964203,114.201807,121.0016032,122.1021402,121.0659987,121.3771169,123.3596702,124.8708698,126.2504999,127.7759691,129.2813356,131.1087148,132.8827085,134.4951783
Ealing,112.2166093,116.8753807,124.0461912,127.9321469,127.7774317,125.921993,122.2737965,121.8095821,120.6928423,113.4225999,119.3079186,118.7699361,116.9220883,116.7322842,118.4487901,119.8230718,121.1968992,122.7906189,124.5244744,126.3221315,128.1247889,129.8427688
Enfield,48.76793085,48.77181366,51.98087097,52.07023151,53.94281019,52.14798706,49.26015954,46.21518139,47.18608885,45.18992043,45.61101123,45.45021121,44.65011931,44.50475349,45.13925643,45.73312523,46.33204941,46.99739587,47.64087621,48.44340318,49.2322945,49.99187831
