Name,Year,Tenure,Percent_of_population_in_borough
City of London,2018,Own.Outright,-
Barking and Dagenham,2018,Own.Outright,16.4
Barnet,2018,Own.Outright,25.1
Bexley,2018,Own.Outright,28.5
Brent,2018,Own.Outright,17.3
Bromley,2018,Own.Outright,24
Camden,2018,Own.Outright,20.7
Croydon,2018,Own.Outright,18.2
Ealing,2018,Own.Outright,25.4
Enfield,2018,Own.Outright,25
Greenwich,2018,Own.Outright,18.9
Hackney,2018,Own.Outright,12.7
Hammersmith and Fulham,2018,Own.Outright,15.8
Haringey,2018,Own.Outright,20.3
Harrow,2018,Own.Outright,25.2
Havering,2018,Own.Outright,28.3
Hillingdon,2018,Own.Outright,18.1
Hounslow,2018,Own.Outright,19.8
Islington,2018,Own.Outright,19.5
Kensington and Chelsea,2018,Own.Outright,23.5
Kingston upon Thames,2018,Own.Outright,25.2
Lambeth,2018,Own.Outright,12.4
Lewisham,2018,Own.Outright,11.5
Merton,2018,Own.Outright,24
Newham,2018,Own.Outright,19.3
Redbridge,2018,Own.Outright,22.6
Richmond upon Thames,2018,Own.Outright,29.3
Southwark,2018,Own.Outright,13.3
Sutton,2018,Own.Outright,27
Tower Hamlets,2018,Own.Outright,12.9
Waltham Forest,2018,Own.Outright,20.1
Wandsworth,2018,Own.Outright,16.8
Westminster,2018,Own.Outright,21.8
Inner London,2018,Own.Outright,16.5
Outer London,2018,Own.Outright,22.8
North East,2018,Own.Outright,28.3
North West,2018,Own.Outright,30.1
Yorkshire and The Humber,2018,Own.Outright,30
East Midlands,2018,Own.Outright,30
West Midlands,2018,Own.Outright,30.2
East of England,2018,Own.Outright,29.9
London,2018,Own.Outright,20.3
South East,2018,Own.Outright,29.6
South West,2018,Own.Outright,32.4
Wales,2018,Own.Outright,33.3
Scotland,2018,Own.Outright,30.8
Northern Ireland,2018,Own.Outright,31.7
UK,2018,Own.Outright,29
City of London,2017,Own.Outright,-
Barking and Dagenham,2017,Own.Outright,14.2
Barnet,2017,Own.Outright,25.1
Bexley,2017,Own.Outright,30
Brent,2017,Own.Outright,15.1
Bromley,2017,Own.Outright,25.8
Camden,2017,Own.Outright,19.8
Croydon,2017,Own.Outright,16.3
Ealing,2017,Own.Outright,26.6
Enfield,2017,Own.Outright,23.7
Greenwich,2017,Own.Outright,14.3
Hackney,2017,Own.Outright,12.9
Hammersmith and Fulham,2017,Own.Outright,20.1
Haringey,2017,Own.Outright,17
Harrow,2017,Own.Outright,24.8
Havering,2017,Own.Outright,31.9
Hillingdon,2017,Own.Outright,19.5
Hounslow,2017,Own.Outright,18.2
Islington,2017,Own.Outright,16.4
Kensington and Chelsea,2017,Own.Outright,19.2
Kingston upon Thames,2017,Own.Outright,24.8
Lambeth,2017,Own.Outright,17.6
Lewisham,2017,Own.Outright,12.1
Merton,2017,Own.Outright,24.3
Newham,2017,Own.Outright,15
