Code,Area,2012,2013,2014,2015,2016,2017,2018,2019
E09000002,Barking and Dagenham,7.49,7.60,7.39,7.57,7.81,7.74,7.95,7.88
E09000003,Barnet,7.70,7.74,7.70,7.92,7.92,7.83,7.86,7.68
E09000004,Bexley,7.68,7.75,7.79,7.80,7.79,7.82,7.79,7.83
E09000005,Brent,7.20,7.35,7.60,7.45,7.61,7.68,7.89,7.84
E09000006,Bromley,7.84,7.80,7.74,7.93,7.81,7.65,7.42,7.65
E09000007,Camden,7.35,7.35,7.41,7.48,7.51,7.71,7.49,7.63
E09000008,Croydon,7.57,7.46,7.64,7.71,7.73,7.86,7.58,7.81
E09000009,Ealing,7.62,7.47,7.59,7.83,7.84,7.70,7.84,7.97
E09000010,Enfield,7.57,7.59,7.53,7.71,7.60,7.81,7.98,7.68
E09000011,Greenwich,7.36,7.53,7.68,7.67,7.64,7.68,7.74,7.81
E09000012,Hackney,7.38,7.38,7.31,7.57,7.40,7.47,7.64,7.68
E09000013,Hammersmith and Fulham,7.53,7.56,7.56,7.68,7.81,7.79,7.61,7.83
E09000014,Haringey,7.37,7.51,7.62,7.63,7.44,7.67,7.73,7.72
E09000015,Harrow,7.33,7.54,7.59,7.58,7.79,7.71,7.8,7.72
E09000016,Havering,7.69,7.64,7.72,7.74,7.87,7.90,7.87,7.91
E09000017,Hillingdon,7.61,7.65,7.85,7.85,7.65,7.94,7.81,7.79
E09000018,Hounslow,7.49,7.53,7.60,7.78,7.73,8.04,7.65,7.99
E09000019,Islington,7.31,7.27,7.65,7.52,7.38,7.44,7.49,7.59
E09000020,Kensington and Chelsea,7.69,7.94,7.91,7.79,7.89,7.74,7.55,7.46
E09000021,Kingston upon Thames,7.66,7.43,7.74,7.75,7.85,7.90,7.85,7.95
E09000022,Lambeth,7.44,7.39,7.36,7.55,7.60,7.48,7.62,7.6
E09000023,Lewisham,7.41,7.69,7.76,7.53,7.65,7.47,7.62,7.81
E09000024,Merton,7.51,7.55,7.64,7.86,7.74,7.79,7.79,8.03
E09000025,Newham,7.34,7.50,7.62,7.85,7.92,7.64,7.67,7.73
E09000026,Redbridge,7.64,7.48,7.69,7.89,8.07,7.85,7.74,7.75
E09000027,Richmond upon Thames,7.72,7.68,7.80,7.83,7.92,7.87,7.76,7.76
E09000028,Southwark,7.56,7.59,7.76,7.70,7.66,7.59,7.65,7.5
E09000029,Sutton,7.74,7.58,7.61,7.92,7.78,7.98,7.99,8.04
E09000030,Tower Hamlets,7.14,7.56,7.60,7.64,7.71,7.69,7.6,7.78
E09000031,Waltham Forest,7.35,7.74,7.59,7.86,7.69,7.92,7.89,7.81
E09000032,Wandsworth,7.61,7.56,7.72,7.73,7.73,7.88,7.79,7.71
E09000033,Westminster,7.59,7.36,7.56,7.70,7.57,7.77,7.77,7.75
