Borough,Year,Crime rate,Primary & Utilities,Manufacturing,Construction,Wholesale,Retail,Transportation and Storage,Accomodation and food service activities,Information and Communication,Financial and insurance activities,"Professional, Real Estate, Scientific and technical activities",Administrative and support service activities,Public Admin and defence,Education,Health,"Arts, entertainment and recreation",Other services,Dwellings per hectare,Average number of homeless people per 1000,Attainment,Happiness score out of 10,Anxiety score out of 10,Worthwhile score out of 10,Life satisfaction score out of 10,Ratio of house prices to earnings,Wage per hour,Population per hectare,Life expectancy of men at 65,Life expectancy of women at 65,% of Public sector jobs,% of Private sector jobs,Consumer expenditure on Alcoholic beverages (£mn),Consumer expenditure on Pubs and Wine bars (£mn)
Barking and Dagenham,2016,80.0,1.335,9.533,5.72,9.533,9.533,8.58,4.29,2.86,0.953,5.72,9.533,4.766,11.439,11.439,2.86,1.907,19.6,12.5,49.7,7.45,2.84,7.81,7.45,9.89,11.95,57.3,17.4,20.5,19.6,80.4,21.0006704,32.21153192
Barnet,2016,63.0,0.274,1.959,5.486,4.702,11.755,3.135,6.27,4.702,1.763,14.89,8.621,3.527,11.755,15.674,2.351,3.135,16.9,2.86,56.1,7.62,2.49,7.92,7.53,14.05,14.61,44.5,20.3,22.7,16.5,83.5,61.97248788,113.5034879
Bexley,2016,53.0,1.767,7.067,7.067,6.36,11.307,6.36,6.36,3.18,1.413,8.481,12.721,4.24,9.894,9.894,1.767,2.12,15.1,5.03,52.2,7.29,3.06,7.79,7.41,9.44,14.55,40.4,18.6,21.7,14.5,85.5,24.47693975,36.88155367
Brent,2016,82.0,1.055,6.751,5.063,10.127,10.127,6.751,7.595,4.219,1.266,9.283,8.439,2.532,7.595,15.19,2.11,1.899,27.0,6.05,51.5,7.53,2.57,7.61,7.55,15.21,12.48,76.1,19.2,22.6,17.7,82.3,43.28643966,76.37775201
Bromley,2016,62.0,0.85,2.833,6.61,3.777,12.276,2.833,7.554,3.777,5.666,11.331,9.443,2.833,9.443,14.164,3.777,2.833,9.2,4.44,53.7,7.51,2.98,7.81,7.54,10.86,17.25,21.8,19.5,22.2,12.8,87.2,55.77946446,95.29582552
Camden,2016,108.0,0.425,0.992,2.266,1.983,5.099,2.833,8.215,10.765,3.116,25.212,9.065,3.399,9.065,11.615,3.116,2.833,47.1,0.65,50.6,7.24,3.16,7.51,7.35,18.53,18.05,113.0,20.7,24.4,12.7,87.3,101.6436456,197.6048767
Croydon,2016,75.0,0.773,2.577,5.155,5.155,12.887,3.866,6.014,6.014,3.866,11.168,8.591,7.732,9.45,12.887,1.718,2.148,17.9,6.52,48.5,7.23,3.12,7.73,7.45,10.18,14.22,44.2,19.2,21.4,19.4,80.6,73.62703062,126.2504999
Ealing,2016,80.0,0.457,9.136,5.329,7.613,10.659,7.613,7.613,5.329,0.952,11.42,9.136,3.045,7.613,9.897,1.903,2.284,23.6,5.15,50.9,7.52,3.35,7.84,7.65,14.73,13.52,61.9,19.7,21.8,13.6,86.4,69.5923429,121.1968992
Enfield,2016,68.0,1.003,5.013,6.015,8.02,12.03,7.018,6.015,3.509,1.504,7.018,9.023,3.509,11.028,15.038,2.005,2.256,15.1,8.78,50.4,7.4,2.49,7.6,7.3,12.16,12.74,41.0,19.0,22.0,20.4,79.6,27.03894952,46.33204941
Greenwich,2016,80.0,1.58,3.161,4.425,3.161,10.114,5.689,8.85,3.793,0.759,7.585,7.585,5.689,13.906,17.699,3.793,2.212,21.5,4.14,49.6,7.07,3.55,7.64,7.23,11.87,14.99,59.1,18.3,20.5,25.3,74.7,36.29711191,60.14071709
Hackney,2016,101.0,0.498,2.073,2.902,2.073,5.804,2.073,8.292,10.779,2.488,19.9,14.096,4.975,7.463,11.609,2.902,2.073,56.5,9.22,52.5,7.25,3.13,7.4,7.31,16.67,14.37,143.8,18.5,21.0,15.1,84.9,36.95022754,68.14016609
Hammersmith and Fulham,2016,110.0,0.185,1.296,2.222,8.889,11.111,2.222,8.148,14.074,1.481,14.815,11.852,3.333,5.926,8.889,3.704,1.852,49.9,5.02,54.1,7.45,3.68,7.81,7.68,19.21,17.82,109.8,18.5,22.0,14.6,85.4,66.22125107,126.1425554
Haringey,2016,102.0,0.607,3.797,4.556,5.315,13.667,6.074,9.112,3.797,1.063,10.63,6.834,4.556,12.149,10.63,4.556,2.658,36.1,5.42,50.1,7.23,3.09,7.44,7.26,14.96,13.98,94.4,19.2,22.3,18.3,81.7,21.22562909,38.9448077
Harrow,2016,53.0,0.714,2.857,7.143,4.286,10.0,3.571,5.714,7.143,1.786,15.714,7.143,3.214,11.429,12.857,3.571,2.857,17.7,5.72,53.1,7.46,2.82,7.79,7.65,13.29,15.27,49.4,21.0,23.2,14.8,85.2,42.94966822,72.69173493
Havering,2016,66.0,0.867,4.337,7.435,6.196,12.392,6.196,7.435,2.788,2.478,6.196,9.913,3.098,9.913,16.109,2.478,2.169,8.8,3.93,50.0,7.53,2.65,7.87,7.69,9.78,14.69,22.5,18.9,21.7,19.5,80.5,22.24716467,34.42173228
Hillingdon,2016,81.0,0.819,4.366,3.82,6.003,7.64,16.917,8.186,4.366,1.228,10.368,15.28,3.82,6.548,8.186,1.091,1.364,9.3,3.04,51.2,7.37,3.09,7.65,7.46,11.64,13.62,26.2,19.5,21.5,12.1,87.9,68.45140534,112.6929176
Hounslow,2016,82.0,0.585,2.047,2.339,5.848,5.848,23.977,5.848,13.45,1.754,9.357,11.696,2.339,4.678,7.018,1.754,1.462,17.5,5.22,51.1,7.47,3.13,7.73,7.54,12.62,13.5,48.5,18.7,21.9,9.8,90.2,56.28797806,95.17789348
Islington,2016,114.0,0.311,1.332,2.22,1.998,5.773,2.22,7.549,13.766,5.773,24.867,12.433,3.552,4.44,8.437,2.664,2.664,68.5,3.67,50.6,7.11,3.41,7.38,7.29,16.51,17.36,157.0,19.0,21.3,10.6,89.4,41.00075564,77.74558093
Kensington and Chelsea,2016,126.0,0.704,0.977,1.955,1.759,17.201,1.955,14.855,7.037,2.346,15.637,8.6,2.346,4.691,11.728,4.691,3.518,70.2,7.08,56.6,7.6,3.38,7.89,7.78,30.38,17.2,129.6,22.1,23.6,14.3,85.7,49.58743938,103.799611
Kingston upon Thames,2016,58.0,0.127,2.226,3.181,5.725,12.723,1.908,6.361,4.453,1.59,10.178,17.812,4.453,10.178,12.723,3.817,2.545,17.9,3.12,58.2,7.59,3.03,7.85,7.71,11.83,16.61,47.3,20.0,22.5,14.0,86.0,39.48728016,67.94875012
Lambeth,2016,106.0,1.412,0.882,2.471,2.118,6.354,3.53,9.884,7.766,0.635,10.589,12.707,5.648,7.06,21.885,4.236,2.824,50.5,3.76,49.7,7.11,3.33,7.6,7.41,15.01,15.26,122.4,18.3,21.3,24.3,75.7,62.03410919,113.5689569
Lewisham,2016,79.0,0.369,1.328,5.166,3.321,10.332,5.166,7.38,3.321,0.886,8.856,11.808,4.428,14.76,17.712,2.952,2.214,35.2,6.15,47.5,7.26,3.08,7.65,7.14,11.7,14.96,86.0,18.5,21.0,22.9,77.1,42.8545654,72.50721189
Merton,2016,62.0,0.867,3.098,4.957,5.576,9.913,5.576,5.576,4.957,2.169,13.631,17.348,2.478,8.674,8.674,2.788,3.717,22.1,1.68,52.4,7.5,3.23,7.74,7.56,13.44,15.6,54.7,19.2,21.7,10.5,89.5,41.54289075,71.30109887
